京, 北京市, 北京市
湘K, 湖南省, 娄底市 
湘L, 湖南省, 郴州市 
湘M, 湖南省, 永州市 
湘N, 湖南省, 怀化市 
湘U, 湖南省, 湘西土家族苗族自治州 
湘S, 湖南省, 长沙市 
皖A, 安徽省, 合肥市 
皖B, 安徽省, 芜湖市 
皖C, 安徽省, 蚌埠市 
皖D, 安徽省, 淮南市 
皖E, 安徽省, 马鞍山市 
皖F, 安徽省, 淮北市 
皖G, 安徽省, 铜陵市 
皖H, 安徽省, 安庆市 
皖J, 安徽省, 黄山市 
皖K, 安徽省, 阜阳市 
皖L, 安徽省, 宿州市 
皖M, 安徽省, 滁州市 
皖N, 安徽省, 六安市 
皖P, 安徽省, 宣城市 
皖Q, 安徽省, 巢湖市 
皖R, 安徽省, 池州市 
皖S, 安徽省, 亳州市 
鲁A, 山东省, 济南市 
鲁B, 山东省, 青岛市 
鲁C, 山东省, 淄博市 
鲁D, 山东省, 枣庄市 
鲁E, 山东省, 东营市 
鲁F, 山东省, 烟台市 
鲁G, 山东省, 潍坊市 
鲁H, 山东省, 济宁市 
鲁J, 山东省, 泰安市 
鲁K, 山东省, 威海市 
鲁L, 山东省, 日照市 
鲁M, 山东省, 滨州市 
鲁N, 山东省, 德州市 
鲁P, 山东省, 聊城市 
鲁Q, 山东省, 临沂市 
鲁R, 山东省, 菏泽市 
鲁S, 山东省, 莱芜市 
鲁U, 山东省, 青岛市 
鲁V, 山东省, 潍坊市 
鲁Y, 山东省, 烟台市 
新A, 新疆维吾尔, 乌鲁木齐市 
新B, 新疆维吾尔, 昌吉回族自治州 
新C, 新疆维吾尔, 石河子市 
新D, 新疆维吾尔, 伊犁哈萨克自治州 
新E, 新疆维吾尔, 博尔塔拉蒙古自治州 
新F, 新疆维吾尔, 伊犁哈萨克自治州 
新G, 新疆维吾尔, 塔城地区 
新H, 新疆维吾尔, 阿勒泰地区 
新J, 新疆维吾尔, 克拉玛依市 
新K, 新疆维吾尔, 吐鲁番地区 
新L, 新疆维吾尔, 哈密地区 
新M, 新疆维吾尔, 巴音郭愣蒙古自治州 
新N, 新疆维吾尔, 阿克苏地区 
新P, 新疆维吾尔, 克孜勒苏柯尔克孜自治州 
新Q, 新疆维吾尔, 喀什地区 
新R, 新疆维吾尔, 和田地区 
苏A, 江苏省, 南京市 
苏B, 江苏省, 无锡市 
苏C, 江苏省, 徐州市 
苏D, 江苏省, 常州市 
苏E, 江苏省, 苏州市 
苏F, 江苏省, 南通市 
苏G, 江苏省, 连云港市 
苏H, 江苏省, 淮安市 
苏J, 江苏省, 盐城市 
苏K, 江苏省, 扬州市 
苏L, 江苏省, 镇江市 
苏M, 江苏省, 泰州市 
苏N, 江苏省, 宿迁市 
浙A, 浙江省, 杭州市 
浙B, 浙江省, 宁波市 
浙C, 浙江省, 温州市 
浙D, 浙江省, 绍兴市 
浙E, 浙江省, 湖州市 
浙F, 浙江省, 嘉兴市 
浙G, 浙江省, 金华市 
浙H, 浙江省, 衢州市 
浙J, 浙江省, 台州市 
浙K, 浙江省, 丽水市 
浙L, 浙江省, 舟山市 
赣A, 江西省, 南昌市 
赣B, 江西省, 赣州市 
赣C, 江西省, 宜春市 
赣D, 江西省, 吉安市 
赣E, 江西省, 上饶市 
赣F, 江西省, 抚州市 
赣G, 江西省, 九江市 
赣H, 江西省, 景德镇市 
赣J, 江西省, 萍乡市 
赣K, 江西省, 新余市 
赣L, 江西省, 鹰潭市 
赣M, 江西省, 南昌市 
鄂A, 湖北省, 武汉市 
鄂B, 湖北省, 黄石市 
鄂C, 湖北省, 十堰市 
鄂D, 湖北省, 荆州市 
鄂E, 湖北省, 宜昌市 
鄂F, 湖北省, 襄樊市 
鄂G, 湖北省, 鄂州市 
鄂H, 湖北省, 荆门市 
鄂J, 湖北省, 黄冈市 
鄂K, 湖北省, 孝感市 
鄂L, 湖北省, 咸宁市 
鄂M, 湖北省, 仙桃市 
鄂N, 湖北省, 潜江市 
鄂P, 湖北省, 神农架林区 
鄂Q, 湖北省, 恩施土家族苗族自治州 
鄂R, 湖北省, 天门市 
鄂S, 湖北省, 随州市 
桂A, 广西壮族, 南宁市 
桂B, 广西壮族, 柳州市 
桂C, 广西壮族, 桂林市 
桂D, 广西壮族, 梧州市 
桂E, 广西壮族, 北海市 
桂F, 广西壮族, 崇左市 
桂G, 广西壮族, 来宾市 
桂H, 广西壮族, 桂林市 
桂J, 广西壮族, 贺州市 
桂K, 广西壮族, 玉林市 
桂L, 广西壮族, 百色市 
桂M, 广西壮族, 河池市 
桂N, 广西壮族, 钦州市 
桂P, 广西壮族, 防城港市 
桂R, 广西壮族, 贵港市 
甘A, 甘肃省, 兰州市 
甘B, 甘肃省, 嘉峪关市 
甘C, 甘肃省, 金昌市 
甘D, 甘肃省, 白银市 
甘E, 甘肃省, 天水市 
甘F, 甘肃省, 酒泉市 
甘G, 甘肃省, 张掖市 
甘H, 甘肃省, 武威市 
甘J, 甘肃省, 定西市 
甘K, 甘肃省, 陇南市 
甘L, 甘肃省, 平凉市 
甘M, 甘肃省, 庆阳市 
甘N, 甘肃省, 临夏回族自治州 
甘P, 甘肃省, 甘南藏族自治州 
晋A, 山西省, 太原市 
晋B, 山西省, 大同市 
晋C, 山西省, 阳泉市 
晋D, 山西省, 长治市 
晋E, 山西省, 晋城市 
晋F, 山西省, 朔州市 
晋H, 山西省, 忻州市 
晋J, 山西省, 吕梁市 
晋K, 山西省, 晋中市 
晋L, 山西省, 临汾市 
晋M, 山西省, 运城市 
蒙A, 内蒙古, 呼和浩特市 
蒙B, 内蒙古, 包头市 
蒙C, 内蒙古, 乌海市 
蒙D, 内蒙古, 赤峰市 
蒙E, 内蒙古, 呼伦贝尔市 
蒙F, 内蒙古, 兴安盟 
蒙G, 内蒙古, 通辽市 
蒙H, 内蒙古, 锡林郭勒盟 
蒙J, 内蒙古, 乌兰察布市 
蒙K, 内蒙古, 鄂尔多斯市 
蒙L, 内蒙古, 巴彦淖尔市 
蒙M, 内蒙古, 阿拉善盟 
陕A, 陕西省, 西安市 
陕B, 陕西省, 铜川市 
陕C, 陕西省, 宝鸡市 
陕D, 陕西省, 咸阳市 
陕E, 陕西省, 渭南市 
陕F, 陕西省, 汉中市 
陕G, 陕西省, 安康市 
陕H, 陕西省, 商洛市 
陕J, 陕西省, 延安市 
陕K, 陕西省, 榆林市 
陕V, 陕西省, 杨凌 
吉A, 吉林省, 长春市 
吉B, 吉林省, 吉林市 
吉C, 吉林省, 四平市 
吉D, 吉林省, 辽源市 
吉E, 吉林省, 通化市 
吉F, 吉林省, 白山市 
吉G, 吉林省, 白城市 
吉H, 吉林省, 延边朝鲜族自治州 
吉J, 吉林省, 松原市 
吉K, 吉林省, 长白山保护开发区 
闽A, 福建省, 福州市 
闽B, 福建省, 莆田市 
闽C, 福建省, 泉州市 
闽D, 福建省, 厦门市 
闽E, 福建省, 漳州市 
闽F, 福建省, 龙岩市 
闽G, 福建省, 三明市 
闽H, 福建省, 南平市 
闽J, 福建省, 宁德市 
闽K, 福建省, 福州市 
贵A, 贵州省, 贵阳市 
贵B, 贵州省, 六盘水市 
贵C, 贵州省, 遵义市 
贵D, 贵州省, 铜仁地区 
贵E, 贵州省, 黔西南布依族苗族自治州 
贵F, 贵州省, 毕节地区 
贵G, 贵州省, 安顺市 
贵H, 贵州省, 黔东南苗族侗族自治州 
贵J, 贵州省, 黔南布依族苗族自治州 
粤A, 广东省, 广州市 
粤B, 广东省, 深圳市 
粤C, 广东省, 珠海市 
粤D, 广东省, 汕头市 
粤E, 广东省, 佛山市 
粤F, 广东省, 韶关市 
粤G, 广东省, 湛江市 
粤H, 广东省, 肇庆市 
粤J, 广东省, 江门市 
粤K, 广东省, 茂名市 
粤L, 广东省, 惠州市 
粤M, 广东省, 梅州市 
粤N, 广东省, 汕尾市 
粤P, 广东省, 河源市 
粤Q, 广东省, 阳江市 
粤R, 广东省, 清远市 
粤S, 广东省, 东莞市 
粤T, 广东省, 中山市 
粤U, 广东省, 潮州市 
粤V, 广东省, 揭阳市 
粤W, 广东省, 云浮市 
粤X, 广东省, 佛山市 
粤Y, 广东省, 佛山市 
粤Z, 广东省, 港澳进入内地车辆 
川A, 四川省, 成都市 
川B, 四川省, 绵阳市 
川C, 四川省, 自贡市 
川D, 四川省, 攀枝花市 
川E, 四川省, 泸州市 
川F, 四川省, 德阳市 
川H, 四川省, 广元市 
川J, 四川省, 遂宁市 
川K, 四川省, 内江市 
川L, 四川省, 乐山市 
川M, 四川省, 资阳市 
川N, 四川省, 宜宾市 
川P, 四川省, 宜宾市 
川Q, 四川省, 宜宾市 
川R, 四川省, 南充市 
川S, 四川省, 达州市 
川T, 四川省, 雅安市 
川U, 四川省, 阿坝藏族羌族自治州 
川V, 四川省, 甘孜藏族自治州 
川W, 四川省, 凉山彝族自治州 
川X, 四川省, 广安市 
川Y, 四川省, 巴中市 
川Z, 四川省, 眉山市 
青A, 青海省, 西宁市 
青B, 青海省, 海东市 
青C, 青海省, 海北藏族自治州 
青D, 青海省, 黄南藏族自治州 
青E, 青海省, 海南藏族自治州 
青F, 青海省, 果洛藏族自治州 
青G, 青海省, 玉树藏族自治州 
青H, 青海省, 海西蒙古族藏族自治州 
藏A, 西藏, 拉萨市 
藏B, 西藏, 昌都地区 
藏C, 西藏, 山南地区 
藏D, 西藏, 日喀则地区 
藏E, 西藏, 那曲地区 
藏F, 西藏, 阿里地区 
藏G, 西藏, 林芝地区 
藏H, 西藏, 四川双流 
藏J, 西藏, 青海格尔木 
琼A, 海南省, 海口市 
琼B, 海南省, 三亚市 
琼C, 海南省, 琼北 
琼D, 海南省, 琼南 
琼E, 海南省, 洋浦经济开发区 
宁A, 宁夏回族, 银川市 
宁B, 宁夏回族, 石嘴山市 
宁C, 宁夏回族, 吴忠市 
宁D, 宁夏回族, 固原市 
宁E, 宁夏回族, 中卫市
